time,open,high,low,close,volume
2026-06-30T16:20:00Z,746.39,746.43,746.33,746.33,50803
2026-06-30T16:21:00Z,746.33,746.37,746.26,746.28,30330
2026-06-30T16:22:00Z,746.28,746.5,746.28,746.5,34515
2026-06-30T16:23:00Z,746.5,746.53,746.35,746.37,45959
2026-06-30T16:24:00Z,746.37,746.47,746.34,746.42,52782
2026-06-30T16:25:00Z,746.42,746.42,746.28,746.33,25937
2026-06-30T16:26:00Z,746.33,746.43,746.33,746.4,81107
2026-06-30T16:27:00Z,746.39,746.44,746.31,746.36,44093
2026-06-30T16:28:00Z,746.36,746.37,746.29,746.31,36142
2026-06-30T16:29:00Z,746.31,746.38,746.26,746.29,26887
2026-06-30T16:30:00Z,746.29,746.34,746.16,746.32,68924
2026-06-30T16:31:00Z,746.32,746.42,746.25,746.26,55700
2026-06-30T16:32:00Z,746.28,746.29,746.14,746.18,57944
2026-06-30T16:33:00Z,746.16,746.29,746.14,746.25,33638
2026-06-30T16:34:00Z,746.24,746.26,746.12,746.22,52629
2026-06-30T16:35:00Z,746.22,746.28,746.12,746.15,32448
2026-06-30T16:36:00Z,746.15,746.29,746.14,746.28,39210
2026-06-30T16:37:00Z,746.27,746.28,746.18,746.24,35120
2026-06-30T16:38:00Z,746.23,746.32,746.21,746.3,25175
2026-06-30T16:39:00Z,746.29,746.42,746.26,746.42,29213
2026-06-30T16:40:00Z,746.4,746.48,746.33,746.33,65994
2026-06-30T16:41:00Z,746.33,746.47,746.33,746.42,57901
2026-06-30T16:42:00Z,746.42,746.61,746.42,746.57,64895
2026-06-30T16:43:00Z,746.57,746.59,746.46,746.47,40735
2026-06-30T16:44:00Z,746.47,746.56,746.44,746.53,43072
2026-06-30T16:45:00Z,746.54,746.59,746.48,746.54,47610
2026-06-30T16:46:00Z,746.55,746.62,746.51,746.57,56749
2026-06-30T16:47:00Z,746.58,746.61,746.53,746.55,39591
2026-06-30T16:48:00Z,746.54,746.78,746.51,746.73,54187
2026-06-30T16:49:00Z,746.74,746.79,746.71,746.79,55430
2026-06-30T16:50:00Z,746.79,746.91,746.63,746.87,52930
2026-06-30T16:51:00Z,746.86,746.86,746.71,746.81,85292
2026-06-30T16:52:00Z,746.8,746.9,746.77,746.86,38257
2026-06-30T16:53:00Z,746.85,746.97,746.79,746.97,62453
2026-06-30T16:54:00Z,746.96,747.04,746.92,746.94,73043
2026-06-30T16:55:00Z,746.95,747,746.85,746.88,49671
2026-06-30T16:56:00Z,746.88,746.92,746.82,746.89,38386
2026-06-30T16:57:00Z,746.89,746.89,746.81,746.81,29820
2026-06-30T16:58:00Z,746.8,746.84,746.66,746.7,42260
2026-06-30T16:59:00Z,746.7,746.78,746.65,746.77,43814
2026-06-30T17:00:00Z,746.78,746.92,746.77,746.87,38019
2026-06-30T17:01:00Z,746.87,746.89,746.77,746.83,42324
2026-06-30T17:02:00Z,746.82,746.92,746.82,746.89,34367
2026-06-30T17:03:00Z,746.9,747.08,746.88,747.07,42497
2026-06-30T17:04:00Z,747.08,747.14,746.98,746.98,39775
2026-06-30T17:05:00Z,746.98,746.99,746.84,746.96,37574
2026-06-30T17:06:00Z,746.95,746.99,746.9,746.93,23317
2026-06-30T17:07:00Z,746.95,747.08,746.93,747.03,45477
2026-06-30T17:08:00Z,747.04,747.05,746.93,747.03,34846
2026-06-30T17:09:00Z,747.03,747.03,746.87,746.87,29624
2026-06-30T17:10:00Z,746.89,746.92,746.77,746.87,27749
2026-06-30T17:11:00Z,746.88,746.92,746.83,746.88,20689
2026-06-30T17:12:00Z,746.87,746.88,746.78,746.85,24729
2026-06-30T17:13:00Z,746.84,746.86,746.67,746.68,36022
2026-06-30T17:14:00Z,746.68,746.71,746.57,746.6,47021
2026-06-30T17:15:00Z,746.6,746.64,746.54,746.55,41929
2026-06-30T17:16:00Z,746.55,746.73,746.52,746.72,36313
2026-06-30T17:17:00Z,746.73,746.75,746.59,746.6,37164
2026-06-30T17:18:00Z,746.6,746.68,746.53,746.59,150616
2026-06-30T17:19:00Z,746.59,746.66,746.57,746.64,24490
2026-06-30T17:20:00Z,746.65,746.83,746.65,746.81,31781
2026-06-30T17:21:00Z,746.81,746.89,746.7,746.7,35457
2026-06-30T17:22:00Z,746.69,746.77,746.61,746.66,39172
2026-06-30T17:23:00Z,746.65,746.67,746.6,746.67,40822
2026-06-30T17:24:00Z,746.69,746.7,746.61,746.7,34800
2026-06-30T17:25:00Z,746.7,746.75,746.66,746.66,32326
2026-06-30T17:26:00Z,746.68,746.7,746.55,746.56,28275
2026-06-30T17:27:00Z,746.56,746.58,746.46,746.47,49803
2026-06-30T17:28:00Z,746.47,746.58,746.37,746.52,56673
2026-06-30T17:29:00Z,746.5,746.56,746.46,746.49,32647
2026-06-30T17:30:00Z,746.51,746.54,746.38,746.46,36666
2026-06-30T17:31:00Z,746.47,746.52,746.34,746.38,33064
2026-06-30T17:32:00Z,746.37,746.44,746.32,746.36,43646
2026-06-30T17:33:00Z,746.37,746.66,746.36,746.66,45730
2026-06-30T17:34:00Z,746.67,746.67,746.57,746.57,23191
